SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/30/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/1/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/2/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/3/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/4/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.014564","0.000328"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/5/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.01324","0.000296"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/6/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/7/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/8/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/9/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/10/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
